dataset,policy_id,method,seed,round,labeled_count,labeled_ratio,mean_dsc_fg
busi,P3,CoreSet,1000,3,44,0.0705,0.5124590549531403
busi,P3,CoreSet,1000,4,63,0.101,0.49966417427427134
busi,P3,CoreSet,1000,5,94,0.1506,0.6035493741403453
busi,P3,CoreSet,1000,6,125,0.2003,0.6406219719313264
busi,P3,CoreSet,2000,0,8,0.0128,0.40701145651966625
busi,P3,CoreSet,2000,1,13,0.0208,0.3920893710722361
busi,P3,CoreSet,2000,2,25,0.0401,0.44174261719289365
busi,P3,CoreSet,2000,3,44,0.0705,0.5377592218621473
busi,P3,CoreSet,2000,4,63,0.101,0.5534542119812694
busi,P3,CoreSet,2000,5,94,0.1506,0.6000684854693593
busi,P3,CoreSet,2000,6,125,0.2003,0.5883667914903292
busi,P3,CoreSet,3000,0,8,0.0128,0.2040373888903818
busi,P3,CoreSet,3000,1,13,0.0208,0.19587593733022446
busi,P3,CoreSet,3000,2,25,0.0401,0.39427794910934305
busi,P3,CoreSet,3000,3,44,0.0705,0.523911543117769
busi,P3,CoreSet,3000,4,63,0.101,0.5276593204742517
busi,P3,CoreSet,3000,5,94,0.1506,0.4997886497658208
busi,P3,CoreSet,3000,6,125,0.2003,0.6065713187665911
busi,P4,BADGE,1000,0,8,0.0128,0.2868779249959307
busi,P4,BADGE,1000,1,13,0.0208,0.2754444245170134
busi,P4,BADGE,1000,2,25,0.0401,0.41945204499475197
busi,P4,BADGE,1000,3,44,0.0705,0.46399326492188897
busi,P4,BADGE,1000,4,63,0.101,0.5068150984629002
busi,P4,BADGE,1000,5,94,0.1506,0.5105468603502651
busi,P4,BADGE,1000,6,125,0.2003,0.547878886848707
busi,P4,BADGE,2000,0,8,0.0128,0.40701145651966625
busi,P4,BADGE,2000,1,13,0.0208,0.374318951020764
busi,P4,BADGE,2000,2,25,0.0401,0.39582349746082335
busi,P4,BADGE,2000,3,44,0.0705,0.4993490675303246
busi,P4,BADGE,2000,4,63,0.101,0.4685169294032938
busi,P4,BADGE,2000,5,94,0.1506,0.4758715445298224
busi,P4,BADGE,2000,6,125,0.2003,0.6063748757886364
busi,P4,BADGE,3000,0,8,0.0128,0.2040373888903818
busi,P4,BADGE,3000,1,13,0.0208,0.1995955991812689
busi,P4,BADGE,3000,2,25,0.0401,0.3842016186167315
busi,P4,BADGE,3000,3,44,0.0705,0.4783064444350645
busi,P4,BADGE,3000,4,63,0.101,0.4797964606163251
busi,P4,BADGE,3000,5,94,0.1506,0.5779630919997236
busi,P4,BADGE,3000,6,125,0.2003,0.5571654715439595
busi,P5,Ent+Core,1000,0,8,0.0128,0.2868779249959307
busi,P5,Ent+Core,1000,1,13,0.0208,0.2910178546506293
busi,P5,Ent+Core,1000,2,25,0.0401,0.2694787658410488
busi,P5,Ent+Core,1000,3,44,0.0705,0.4100482233635617
busi,P5,Ent+Core,1000,4,63,0.101,0.5149886481653875
busi,P5,Ent+Core,1000,5,94,0.1506,0.47330717257375576
busi,P5,Ent+Core,1000,6,125,0.2003,0.5676026988643368
busi,P5,Ent+Core,2000,0,8,0.0128,0.40701145651966625
busi,P5,Ent+Core,2000,1,13,0.0208,0.35448697471731433
busi,P5,Ent+Core,2000,2,25,0.0401,0.40348873153761894
busi,P5,Ent+Core,2000,3,44,0.0705,0.46708750560604156
busi,P5,Ent+Core,2000,4,63,0.101,0.4801343762560974
busi,P5,Ent+Core,2000,5,94,0.1506,0.48007063192168187
busi,P5,Ent+Core,2000,6,125,0.2003,0.5051897504103118
busi,P5,Ent+Core,3000,0,8,0.0128,0.2040373888903818
busi,P5,Ent+Core,3000,1,13,0.0208,0.3182648357640715
busi,P5,Ent+Core,3000,2,25,0.0401,0.3493588494095594
busi,P5,Ent+Core,3000,3,44,0.0705,0.43435073687236586
busi,P5,Ent+Core,3000,4,63,0.101,0.5279530224536676
busi,P5,Ent+Core,3000,5,94,0.1506,0.49778589113220084
busi,P5,Ent+Core,3000,6,125,0.2003,0.3868873276893547
busi,P6,SelUnc,1000,0,8,0.0128,0.2868779249959307
busi,P6,SelUnc,1000,1,13,0.0208,0.3086486006910402
busi,P6,SelUnc,1000,2,25,0.0401,0.4239209345403587
busi,P6,SelUnc,1000,3,44,0.0705,0.5238690782137189
busi,P6,SelUnc,1000,4,63,0.101,0.5183668271145447
busi,P6,SelUnc,1000,5,94,0.1506,0.42130890377888097
busi,P6,SelUnc,1000,6,125,0.2003,0.5385024430775915
busi,P6,SelUnc,2000,0,8,0.0128,0.40701145651966625
busi,P6,SelUnc,2000,1,13,0.0208,0.38619640286037465
busi,P6,SelUnc,2000,2,25,0.0401,0.4201210535822732
busi,P6,SelUnc,2000,3,44,0.0705,0.4165826116353434
busi,P6,SelUnc,2000,4,63,0.101,0.47181756473188746
busi,P6,SelUnc,2000,5,94,0.1506,0.4526287761147497
busi,P6,SelUnc,2000,6,125,0.2003,0.43462135220129816
busi,P6,SelUnc,3000,0,8,0.0128,0.2040373888903818
busi,P6,SelUnc,3000,1,13,0.0208,0.17482015953773272
busi,P6,SelUnc,3000,2,25,0.0401,0.22691808456812543
busi,P6,SelUnc,3000,3,44,0.0705,0.35515944330494975
busi,P6,SelUnc,3000,4,63,0.101,0.437651742745518
busi,P6,SelUnc,3000,5,94,0.1506,0.4274041100548316
busi,P6,SelUnc,3000,6,125,0.2003,0.4875844135318593
busi,P7,SAM-Core,1000,0,8,0.0128,0.2868779249959307
busi,P7,SAM-Core,1000,1,13,0.0208,0.29329224511179625
busi,P7,SAM-Core,1000,2,25,0.0401,0.45249800351553926
busi,P7,SAM-Core,1000,3,44,0.0705,0.5045340482476751
busi,P7,SAM-Core,1000,4,63,0.101,0.5326833431971637
busi,P7,SAM-Core,1000,5,94,0.1506,0.561332368962298
busi,P7,SAM-Core,1000,6,125,0.2003,0.6152266990214108
busi,P7,SAM-Core,2000,0,8,0.0128,0.40701145651966625
busi,P7,SAM-Core,2000,1,13,0.0208,0.41584630983868276
busi,P7,SAM-Core,2000,2,25,0.0401,0.44648048286520664
busi,P7,SAM-Core,2000,3,44,0.0705,0.45376025793088887
busi,P7,SAM-Core,2000,4,63,0.101,0.5264698022601385
busi,P7,SAM-Core,2000,5,94,0.1506,0.5157411518232949
busi,P7,SAM-Core,2000,6,125,0.2003,0.5644470294093776
busi,P7,SAM-Core,3000,0,8,0.0128,0.2040373888903818
busi,P7,SAM-Core,3000,1,13,0.0208,0.21327256203712255
busi,P7,SAM-Core,3000,2,25,0.0401,0.3354950560947258
busi,P7,SAM-Core,3000,3,44,0.0705,0.4794530082162504
busi,P7,SAM-Core,3000,4,63,0.101,0.5403319519791117
