dataset,policy,seed,round,total_rounds,labeled_count,budget_frac,modality,target,dsc_fg_round,hd95_fg,struct_detect
busi,P9,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.595,115.91716347125038,1.0
care_leftatrium_2026,P0,1000,0,6,25,0.01,lge_mri,fg,0.4932,,1.0
care_leftatrium_2026,P0,1000,1,6,50,0.02,lge_mri,fg,0.6858,,1.0
care_leftatrium_2026,P0,1000,2,6,125,0.05,lge_mri,fg,0.7839,,1.0
care_leftatrium_2026,P0,1000,3,6,250,0.1,lge_mri,fg,0.8649,,1.0
care_leftatrium_2026,P0,1000,4,6,375,0.15,lge_mri,fg,0.8776,,1.0
care_leftatrium_2026,P0,1000,5,6,500,0.2,lge_mri,fg,0.8873,,1.0
care_leftatrium_2026,P1,1000,0,6,25,0.01,lge_mri,fg,0.4932,,1.0
care_leftatrium_2026,P1,1000,1,6,50,0.02,lge_mri,fg,0.5671,,1.0
care_leftatrium_2026,P1,1000,2,6,125,0.05,lge_mri,fg,0.6813,,1.0
care_leftatrium_2026,P1,1000,3,6,250,0.1,lge_mri,fg,0.6409,,1.0
care_leftatrium_2026,P1,1000,4,6,375,0.15,lge_mri,fg,0.7393,,1.0
care_leftatrium_2026,P1,1000,5,6,500,0.2,lge_mri,fg,0.6238,,1.0
care_leftatrium_2026,P2,1000,0,6,25,0.01,lge_mri,fg,0.5963,,1.0
care_leftatrium_2026,P2,1000,1,6,50,0.02,lge_mri,fg,0.6157,,1.0
care_leftatrium_2026,P2,1000,2,6,125,0.05,lge_mri,fg,0.4527,,1.0
care_leftatrium_2026,P2,1000,3,6,250,0.1,lge_mri,fg,0.61,,1.0
care_leftatrium_2026,P2,1000,4,6,375,0.15,lge_mri,fg,0.7795,,1.0
care_leftatrium_2026,P2,1000,5,6,500,0.2,lge_mri,fg,0.8408,,1.0
care_leftatrium_2026,P3,1000,0,6,25,0.01,lge_mri,fg,0.4932,,1.0
care_leftatrium_2026,P3,1000,1,6,50,0.02,lge_mri,fg,0.524,,1.0
care_leftatrium_2026,P3,1000,2,6,125,0.05,lge_mri,fg,0.6339,,1.0
care_leftatrium_2026,P3,1000,3,6,250,0.1,lge_mri,fg,0.774,,1.0
care_leftatrium_2026,P3,1000,4,6,375,0.15,lge_mri,fg,0.8433,,1.0
care_leftatrium_2026,P3,1000,5,6,500,0.2,lge_mri,fg,0.8685,,1.0
care_leftatrium_2026,P4,1000,0,6,25,0.01,lge_mri,fg,0.5963,,1.0
care_leftatrium_2026,P4,1000,1,6,50,0.02,lge_mri,fg,0.7421,,1.0
care_leftatrium_2026,P4,1000,2,6,125,0.05,lge_mri,fg,0.836,,1.0
care_leftatrium_2026,P4,1000,3,6,250,0.1,lge_mri,fg,0.8698,,1.0
care_leftatrium_2026,P4,1000,4,6,375,0.15,lge_mri,fg,0.8937,,1.0
care_leftatrium_2026,P4,1000,5,6,500,0.2,lge_mri,fg,0.8879,,1.0
care_leftatrium_2026,P5,1000,0,6,25,0.01,lge_mri,fg,0.4932,,1.0
care_leftatrium_2026,P5,1000,1,6,50,0.02,lge_mri,fg,0.5908,,1.0
care_leftatrium_2026,P5,1000,2,6,125,0.05,lge_mri,fg,0.7763,,1.0
care_leftatrium_2026,P5,1000,3,6,250,0.1,lge_mri,fg,0.8289,,1.0
care_leftatrium_2026,P5,1000,4,6,375,0.15,lge_mri,fg,0.834,,1.0
care_leftatrium_2026,P5,1000,5,6,500,0.2,lge_mri,fg,0.8479,,1.0
care_leftatrium_2026,P6,1000,0,6,25,0.01,lge_mri,fg,0.4932,,1.0
care_leftatrium_2026,P6,1000,1,6,50,0.02,lge_mri,fg,0.6632,,1.0
care_leftatrium_2026,P6,1000,2,6,125,0.05,lge_mri,fg,0.7028,,1.0
care_leftatrium_2026,P6,1000,3,6,250,0.1,lge_mri,fg,0.7316,,1.0
care_leftatrium_2026,P6,1000,4,6,375,0.15,lge_mri,fg,0.0987,,0.125
care_leftatrium_2026,P6,1000,5,6,500,0.2,lge_mri,fg,0.1001,,0.125
care_leftatrium_2026,P7,1000,0,6,25,0.01,lge_mri,fg,0.5963,,1.0
care_leftatrium_2026,P7,1000,1,6,50,0.02,lge_mri,fg,0.7101,,1.0
care_leftatrium_2026,P7,1000,2,6,125,0.05,lge_mri,fg,0.8183,,1.0
care_leftatrium_2026,P7,1000,3,6,250,0.1,lge_mri,fg,0.8653,,1.0
care_leftatrium_2026,P7,1000,4,6,375,0.15,lge_mri,fg,0.8879,,1.0
care_leftatrium_2026,P7,1000,5,6,500,0.2,lge_mri,fg,0.8844,,1.0
care_leftatrium_2026,P8,1000,0,6,25,0.01,lge_mri,fg,0.5963,,1.0
care_leftatrium_2026,P8,1000,1,6,50,0.02,lge_mri,fg,0.6713,,1.0
care_leftatrium_2026,P8,1000,2,6,125,0.05,lge_mri,fg,0.837,,1.0
care_leftatrium_2026,P8,1000,3,6,250,0.1,lge_mri,fg,0.8722,,1.0
care_leftatrium_2026,P8,1000,4,6,375,0.15,lge_mri,fg,0.8674,,1.0
care_leftatrium_2026,P8,1000,5,6,500,0.2,lge_mri,fg,0.8725,,1.0
care_leftatrium_2026,P9,1000,0,6,25,0.01,lge_mri,fg,0.5963,,1.0
care_leftatrium_2026,P9,1000,1,6,50,0.02,lge_mri,fg,0.668,,1.0
care_leftatrium_2026,P9,1000,2,6,125,0.05,lge_mri,fg,0.7501,,1.0
care_leftatrium_2026,P9,1000,3,6,250,0.1,lge_mri,fg,0.7782,,1.0
care_leftatrium_2026,P9,1000,4,6,375,0.15,lge_mri,fg,0.7815,,1.0
care_leftatrium_2026,P9,1000,5,6,500,0.2,lge_mri,fg,0.7631,,1.0
ext_abdoment1k,P0,1000,0,6,25,0.01,ct,liver,0.4316,,0.9894459102902374
ext_abdoment1k,P0,1000,1,6,50,0.02,ct,liver,0.5528,,0.9762532981530343
ext_abdoment1k,P0,1000,2,6,125,0.05,ct,liver,0.6894,,0.9656992084432717
ext_abdoment1k,P0,1000,3,6,250,0.1,ct,liver,0.7394,,0.9841688654353562
ext_abdoment1k,P0,1000,4,6,375,0.15,ct,liver,0.782,,0.9841688654353562
ext_abdoment1k,P0,1000,5,6,500,0.2,ct,liver,0.78,,0.9815303430079155
ext_abdoment1k,P1,1000,0,6,25,0.01,ct,liver,0.4316,,0.9894459102902374
ext_abdoment1k,P1,1000,1,6,50,0.02,ct,liver,0.5192,,0.9815303430079155
ext_abdoment1k,P1,1000,2,6,125,0.05,ct,liver,0.601,,0.9894459102902374
ext_abdoment1k,P1,1000,3,6,250,0.1,ct,liver,0.7156,,0.9815303430079155
ext_abdoment1k,P1,1000,4,6,375,0.15,ct,liver,0.7263,,0.9947229551451188
ext_abdoment1k,P1,1000,5,6,500,0.2,ct,liver,0.7569,,0.9868073878627969
ext_abdoment1k,P2,1000,0,6,25,0.01,ct,liver,0.4425,,0.9868073878627969
ext_abdoment1k,P2,1000,1,6,50,0.02,ct,liver,0.5064,,0.9683377308707124
ext_abdoment1k,P2,1000,2,6,125,0.05,ct,liver,0.6558,,0.9630606860158312
